,Company,Job,Experience,Salary,Location,Skills
2431,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2432,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2433,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2434,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2435,Kwalee,Data Science Core Developer,2-7 Yrs,N/A,Bengaluru/Bangalore,"python, data science, Etl Process"
2436,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2437,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2438,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2439,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2440,Aris Global Software Pvt. Ltd.,Tech Lead - Data Scientist,8-9 Yrs,₹ 18 - 29L/yr (AmbitionBox estimate),"Hubli, Mangaluru, Mysuru/Mysore
													+2 more","SQL, Life sciences, Clinical trials"
2441,Kwalee,Data Science Core Developer,2-7 Yrs,N/A,Bengaluru/Bangalore,"python, data science, Etl Process"
2442,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2443,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2444,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2445,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2446,Aris Global Software Pvt. Ltd.,Tech Lead - Data Scientist,8-9 Yrs,₹ 18 - 29L/yr (AmbitionBox estimate),"Hubli, Mangaluru, Mysuru/Mysore
													+2 more","SQL, Life sciences, Clinical trials"
2447,MediBuddy,Data Scientist - III,5-10 Yrs,N/A,Bengaluru/Bangalore,"Healthcare, Analytical, Operations"
2448,Kwalee,Data Science Core Developer,2-7 Yrs,N/A,Bengaluru/Bangalore,"python, data science, Etl Process"
2449,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2450,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2451,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2452,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2453,Aris Global Software Pvt. Ltd.,Tech Lead - Data Scientist,8-9 Yrs,₹ 18 - 29L/yr (AmbitionBox estimate),"Hubli, Mangaluru, Mysuru/Mysore
													+2 more","SQL, Life sciences, Clinical trials"
2454,MediBuddy,Data Scientist - III,5-10 Yrs,N/A,Bengaluru/Bangalore,"Healthcare, Analytical, Operations"
2455,KAS Services India,Data Scientist,3-5 Yrs,₹ 20 - 20L/yr (AmbitionBox estimate),"Chennai, Pune, New Delhi
													+4 more","data science, SQL, SAS"
2456,Kwalee,Data Science Core Developer,2-7 Yrs,N/A,Bengaluru/Bangalore,"python, data science, Etl Process"
2457,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2458,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2459,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2460,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2461,Aris Global Software Pvt. Ltd.,Tech Lead - Data Scientist,8-9 Yrs,₹ 18 - 29L/yr (AmbitionBox estimate),"Hubli, Mangaluru, Mysuru/Mysore
													+2 more","SQL, Life sciences, Clinical trials"
2462,MediBuddy,Data Scientist - III,5-10 Yrs,N/A,Bengaluru/Bangalore,"Healthcare, Analytical, Operations"
2463,KAS Services India,Data Scientist,3-5 Yrs,₹ 20 - 20L/yr (AmbitionBox estimate),"Chennai, Pune, New Delhi
													+4 more","data science, SQL, SAS"
2464,Novartis Healthcare Pvt. Ltd.,Incentive Calculations Analyst,2-4 Yrs,₹ 3.75 - 15.3L/yr (AmbitionBox estimate),Hyderabad/Secunderabad,"Customer service, Project management, Analytics"
2465,Kwalee,Data Science Core Developer,2-7 Yrs,N/A,Bengaluru/Bangalore,"python, data science, Etl Process"
2466,ABC Consultants,Director - Data Analytics  & Data Engineering - Healthcare (14-20 yrs),14-20 Yrs,N/A,Hyderabad/Secunderabad,"Analytics, Data Analytics, Business Intelligence"
2467,Itvedant education institute,Data Science Trainer,0-2 Yrs,₹ 2.75 - 5L/yr,Chennai,"Data Science, Artificial Intelligence, Advanced Excel"
2468,Pylon Management Consulting,Vice President - Analytics - Personal Banking (7-15 yrs),7-15 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Analytics, Strategy Consulting"
2469,Merilytics,Merilytics - Manager - Data Science -  IIT/BITS/NIT (3-7 yrs),3-7 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Analytics, Data Management"
2470,Aris Global Software Pvt. Ltd.,Tech Lead - Data Scientist,8-9 Yrs,₹ 18 - 29L/yr (AmbitionBox estimate),"Hubli, Mangaluru, Mysuru/Mysore
													+2 more","SQL, Life sciences, Clinical trials"
2471,MediBuddy,Data Scientist - III,5-10 Yrs,N/A,Bengaluru/Bangalore,"Healthcare, Analytical, Operations"
2472,KAS Services India,Data Scientist,3-5 Yrs,₹ 20 - 20L/yr (AmbitionBox estimate),"Chennai, Pune, New Delhi
													+4 more","data science, SQL, SAS"
2473,Novartis Healthcare Pvt. Ltd.,Incentive Calculations Analyst,2-4 Yrs,₹ 3.75 - 15.3L/yr (AmbitionBox estimate),Hyderabad/Secunderabad,"Customer service, Project management, Analytics"
2474,Bajaj Finserv Ltd.,Unit Manager/Senior Unit Manager - Payments - Data Science,2-6 Yrs,N/A,Pune,"Manager Quality Assurance, SQL, Analytical"
2475,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2476,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2477,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2478,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2479,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2480,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2481,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2482,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2483,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2484,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2485,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2486,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2487,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2488,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2489,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2490,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2491,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2492,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2493,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2494,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2495,Get My Parking,Get My Parking - Principal Data Scientist - Machine Learning (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, R"
2496,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2497,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2498,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2499,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2500,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2501,Get My Parking,Get My Parking - Principal Data Scientist - Machine Learning (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, R"
2502,Synchrony International Services Private Limited,Synchrony - Assistant Vice President - Analytics (5-9 yrs),5-9 Yrs,N/A,N/A,N/A
2503,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2504,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2505,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2506,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2507,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2508,Get My Parking,Get My Parking - Principal Data Scientist - Machine Learning (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, R"
2509,Synchrony International Services Private Limited,Synchrony - Assistant Vice President - Analytics (5-9 yrs),5-9 Yrs,N/A,N/A,N/A
2510,Reliance Brands Limited,Reliance - Manager - Business Intelligence (5-10 yrs),5-10 Yrs,N/A,Mumbai,"Business Intelligence, Analytics, Data Analytics"
2511,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2512,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2513,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2514,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2515,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2516,Get My Parking,Get My Parking - Principal Data Scientist - Machine Learning (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, R"
2517,Synchrony International Services Private Limited,Synchrony - Assistant Vice President - Analytics (5-9 yrs),5-9 Yrs,N/A,N/A,N/A
2518,Reliance Brands Limited,Reliance - Manager - Business Intelligence (5-10 yrs),5-10 Yrs,N/A,Mumbai,"Business Intelligence, Analytics, Data Analytics"
2519,Synchrony International Services Private Limited,Synchrony - AVP - Analytics Acceleration (7-12 yrs),7-12 Yrs,N/A,Hyderabad/Secunderabad,"Data Analytics, Analytics, Data Science"
2520,Bajaj Finserv Ltd.,Lead - Payments - Data Science/Senior Lead,3-6 Yrs,N/A,Pune,"SQL, Manager Quality Assurance, Business intelligence"
2521,ISDC Projects,Data Science Trainer,5-10 Yrs,₹ 5 - 12L/yr,Bengaluru/Bangalore,"Faculty Training, Machine Learning, Train The Trainer"
2522,Randstad India Pvt Ltd,Director - Data Engineering Head - Pharma/Biotech (15-20 yrs),15-20 Yrs,N/A,Bengaluru/Bangalore,"Analytics, Data Science, Big Data"
2523,Maruti Suzuki India Limited,ATE - New Automation Techonology Engineer,3-7 Yrs,N/A,"Manesar, Gurgaon/Gurugram","data science, Instrumentation, Costing"
2524,Digit Insurance,PR & Corporate Communications Professional,3-5 Yrs,N/A,Bengaluru/Bangalore,"Brand building, Analytical, Bfsi"
2525,Get My Parking,Get My Parking - Principal Data Scientist - Machine Learning (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, R"
2526,Synchrony International Services Private Limited,Synchrony - Assistant Vice President - Analytics (5-9 yrs),5-9 Yrs,N/A,N/A,N/A
2527,Reliance Brands Limited,Reliance - Manager - Business Intelligence (5-10 yrs),5-10 Yrs,N/A,Mumbai,"Business Intelligence, Analytics, Data Analytics"
2528,Synchrony International Services Private Limited,Synchrony - AVP - Analytics Acceleration (7-12 yrs),7-12 Yrs,N/A,Hyderabad/Secunderabad,"Data Analytics, Analytics, Data Science"
2529,Synchrony International Services Private Limited,Synchrony -  AVP - Analytics Acceleration (5-10 yrs),5-10 Yrs,N/A,Hyderabad/Secunderabad,"SAS, Statistics, SQL"
2530,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2531,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2532,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2533,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2534,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2535,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2536,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2537,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2538,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2539,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2540,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2541,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2542,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2543,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2544,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2545,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2546,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2547,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2548,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2549,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2550,Genpact,Genpact - Data Science Role - Python (6-12 yrs),6-12 Yrs,N/A,N/A,N/A
2551,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2552,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2553,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2554,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2555,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2556,Genpact,Genpact - Data Science Role - Python (6-12 yrs),6-12 Yrs,N/A,N/A,N/A
2557,Genpact,Genpact - Lead Data Scientist - R/Python (4-9 yrs),4-9 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, R, Python"
2558,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2559,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2560,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2561,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2562,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2563,Genpact,Genpact - Data Science Role - Python (6-12 yrs),6-12 Yrs,N/A,N/A,N/A
2564,Genpact,Genpact - Lead Data Scientist - R/Python (4-9 yrs),4-9 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, R, Python"
2565,Genpact, Genpact - Manager/Senior Manager - Marketing Analytics + Data Science/Python  (6-11 yrs),6-11 Yrs,N/A,Bengaluru/Bangalore,"Marketing, Data Science, Python"
2566,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2567,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2568,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2569,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2570,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2571,Genpact,Genpact - Data Science Role - Python (6-12 yrs),6-12 Yrs,N/A,N/A,N/A
2572,Genpact,Genpact - Lead Data Scientist - R/Python (4-9 yrs),4-9 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, R, Python"
2573,Genpact, Genpact - Manager/Senior Manager - Marketing Analytics + Data Science/Python  (6-11 yrs),6-11 Yrs,N/A,Bengaluru/Bangalore,"Marketing, Data Science, Python"
2574,Genpact,Genpact - Manager/Senior Manager - Data Science - Max 30 days Notice (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Data Management"
2575,Genpact,Data Science Leader - HR Analytics - Talent Analytics COE (10-18 yrs),10-18 Yrs,N/A,Gurgaon/Gurugram,"Machine Learning, Statistics, Data Science"
2576,Deloitte,Deloitte - Assistant Manager/Deputy Manager - Process Mining (3-12 yrs),3-12 Yrs,N/A,"Mumbai, New Delhi, Bengaluru/Bangalore","Process Excellence, IT Project Management, IT Transformation"
2577,Reliance Retail Limited,Reliance Retail - Data Scientist (5-8 yrs),5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, Data Science, Data Management"
2578,Reliance Retail,Reliance Retail - Business Analyst (3-9 yrs),3-9 Yrs,N/A,Mumbai,"Analytics, Business Analysis, Statistical Modeling"
2579,Novartis Health Care Pvt. Ltd,Novartis - Data Scientist - PhD (6-10 yrs),6-10 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Data Scientist, Data Management"
2580,Genpact,Genpact - Data Science Role - Python (6-12 yrs),6-12 Yrs,N/A,N/A,N/A
2581,Genpact,Genpact - Lead Data Scientist - R/Python (4-9 yrs),4-9 Yrs,N/A,Bengaluru/Bangalore,"Data Scientist, R, Python"
2582,Genpact, Genpact - Manager/Senior Manager - Marketing Analytics + Data Science/Python  (6-11 yrs),6-11 Yrs,N/A,Bengaluru/Bangalore,"Marketing, Data Science, Python"
2583,Genpact,Genpact - Manager/Senior Manager - Data Science - Max 30 days Notice (6-12 yrs),6-12 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Data Scientist, Data Management"
2584,Genpact,Genpact - SQL + Python Automation Role (3-6 yrs),3-6 Yrs,N/A,"Bengaluru/Bangalore, Delhi NCR, Kolkata","SQL, Python, Marketing Analytics"
2585,Gi Group (Elixir Consulting),Data Scientist -  Insurance (4-8 yrs),4-8 Yrs,N/A,"Delhi Ncr, Gurgaon/Gurugram, Noida","Data Science, Data Visualization, Machine Learning"
2586,Gi Group (Elixir Consulting),Data Scientist -  Insurance (4-8 yrs),4-8 Yrs,N/A,"Delhi Ncr, Gurgaon/Gurugram, Noida","Data Science, Data Visualization, Machine Learning"
2587,CarbyneTech India,Splunk Developer - SQL / Data Science,1-3 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Java, software development"
2588,Gi Group (Elixir Consulting),Data Scientist -  Insurance (4-8 yrs),4-8 Yrs,N/A,"Delhi Ncr, Gurgaon/Gurugram, Noida","Data Science, Data Visualization, Machine Learning"
2589,CarbyneTech India,Splunk Developer - SQL / Data Science,1-3 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Java, software development"
2590,Fugetron Corporation,Jr. Python Developer ( Data Science knowledge ),0-2 Yrs,N/A,Mumbai,"Tensorflow, Data Science, Sklearn"
2591,Gi Group (Elixir Consulting),Data Scientist -  Insurance (4-8 yrs),4-8 Yrs,N/A,"Delhi Ncr, Gurgaon/Gurugram, Noida","Data Science, Data Visualization, Machine Learning"
2592,CarbyneTech India,Splunk Developer - SQL / Data Science,1-3 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Java, software development"
2593,Fugetron Corporation,Jr. Python Developer ( Data Science knowledge ),0-2 Yrs,N/A,Mumbai,"Tensorflow, Data Science, Sklearn"
2594,Copeland,Data Science Engineer,1-7 Yrs,N/A,Pune,"Data analysis, SQL, Data processing"
2595,Gi Group (Elixir Consulting),Data Scientist -  Insurance (4-8 yrs),4-8 Yrs,N/A,"Delhi Ncr, Gurgaon/Gurugram, Noida","Data Science, Data Visualization, Machine Learning"
2596,CarbyneTech India,Splunk Developer - SQL / Data Science,1-3 Yrs,N/A,Hyderabad/Secunderabad,"Data Science, Java, software development"
2597,Fugetron Corporation,Jr. Python Developer ( Data Science knowledge ),0-2 Yrs,N/A,Mumbai,"Tensorflow, Data Science, Sklearn"
2598,Copeland,Data Science Engineer,1-7 Yrs,N/A,Pune,"Data analysis, SQL, Data processing"
